"CAS_number";"infocard";"STP_PNEC";"URL_Log";"min_STP_PNEC_mg/L";"max_STP_PNEC_mg/L";"STP_PNEC_flag"
"1000-50-6";"100.102.225";NA;NA;NA;NA;"Missing_PNEC"
"100011-37-8";"100.100.930";NA;NA;NA;NA;"Missing_PNEC"
"1000172-11-1";"100.119.193";"10 g/L (1)";NA;10000;10000;"N/A"
"100047-54-9";"100.110.787";NA;NA;NA;NA;"Missing_PNEC"
"1000701-92-7";"100.109.110";"75 mg/L (1)";NA;75;75;"N/A"
"100074-94-0";"100.262.465";NA;NA;NA;NA;"Missing_PNEC"
"1000777-61-6";"100.109.732";NA;NA;NA;NA;"Missing_PNEC"
"1000802-69-6";"100.366.374";NA;NA;NA;NA;"Missing_PNEC"
"1000817-22-0";"100.116.889";"72 mg/L (1)";NA;72;72;"N/A"
"100084-96-6";"100.246.216";NA;NA;NA;NA;"Missing_PNEC"
"100085-61-8";"100.099.219";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"1001252-30-7";"100.105.357";NA;NA;NA;NA;"Missing_PNEC"
"1001254-87-0";"100.132.931";"100 mg/L (1)";NA;100;100;"N/A"
"1001320-38-2";"100.218.531";NA;NA;NA;NA;"Missing_PNEC"
"100134-82-5";"100.117.919";NA;NA;NA;NA;"Missing_PNEC"
"1001354-72-8";"100.105.361";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"1001416-18-7";"100.107.553";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"1001417-33-9";"100.131.023";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"10016-20-3";"100.029.995";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"100181-71-3";"100.100.379";NA;NA;NA;NA;"Missing_PNEC"
"1002-67-1";"100.012.445";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"1002-69-3";"100.012.446";NA;NA;NA;NA;"Missing_PNEC"
"100208-62-6";"100.099.275";NA;NA;NA;NA;"Missing_PNEC"
"100208-66-0";"100.099.279";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"100208-97-7";"100.099.302";NA;NA;NA;NA;"Missing_PNEC"
"100209-45-8";"100.099.347";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"100209-50-5";"100.099.351";NA;NA;NA;NA;"Missing_PNEC"
"10022-28-3";"100.030.005";NA;NA;NA;NA;"Missing_PNEC"
"10022-31-8";"100.030.006";"62.2 mg/L (2)";NA;62.2;62.2;"N/A"
"10023-48-0";"100.124.517";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"100231-63-8";"100.099.356";NA;NA;NA;NA;"Missing_PNEC"
"10024-93-8";"100.030.016";NA;NA;NA;NA;"Missing_PNEC"
"10024-97-2";"100.030.017";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"10025-67-9";"100.030.021";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"10025-73-7";"100.030.023";"25.6 mg/L (1)";NA;25.6;25.6;"N/A"
"10025-78-2";"100.030.026";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"10025-82-8";"100.030.027";"51.6 mg/L (1)";NA;51.6;51.6;"N/A"
"10025-87-3";"100.030.030";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"10025-91-9";"100.030.031";"4.78 mg/L (1)";NA;4.78;4.78;"N/A"
"10025-99-7";"100.030.034";NA;NA;NA;NA;"Missing_PNEC"
"10026-04-7";"100.030.037";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"10026-11-6";"100.030.041";NA;NA;NA;NA;"Missing_PNEC"
"10026-12-7";"100.030.042";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"10026-13-8";"100.030.043";NA;NA;NA;NA;"Missing_PNEC"
"100276-37-7";"100.235.723";NA;NA;NA;NA;"Missing_PNEC"
"100276-65-1";"100.124.294";NA;NA;NA;NA;"Missing_PNEC"
"10028-15-6";"100.030.051";NA;NA;NA;NA;"Missing_PNEC"
"10028-18-9";"100.030.053";"330 µg/L (1)";NA;0.33;0.33;"N/A"
"10028-22-5";"100.030.054";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"1002921-45-0";"100.276.963";NA;NA;NA;NA;"Missing_PNEC"
"1003-03-8";"100.012.452";"68.3 mg/L (1)";NA;68.3;68.3;"N/A"
"1003-09-4";"100.012.454";NA;NA;NA;NA;"Missing_PNEC"
"1003-14-1";"100.012.456";"27 mg/L (1)";NA;27;27;"N/A"
"1003-29-8";"100.012.459";NA;NA;NA;NA;"Missing_PNEC"
"1003-52-7";"100.012.463";"100 mg/L (1)";NA;100;100;"N/A"
"1003-68-5";"100.012.467";NA;NA;NA;NA;"Missing_PNEC"
"1003-83-4";"100.104.042";NA;NA;NA;NA;"Missing_PNEC"
"1003049-92-0";"100.149.076";NA;NA;NA;NA;"Missing_PNEC"
"1003218-33-4";"100.268.813";NA;NA;NA;NA;"Missing_PNEC"
"1003218-40-3";"100.131.347";NA;NA;NA;NA;"Missing_PNEC"
"1003315-69-2";"100.119.720";NA;NA;NA;NA;"Missing_PNEC"
"1003319-95-6";"100.224.443";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"10034-81-8";"100.030.086";NA;NA;NA;NA;"Missing_PNEC"
"10034-85-2";"100.030.087";NA;NA;NA;NA;"Missing_PNEC"
"10035-10-6";"100.030.090";"-";NA;NA;NA;"Missing_PNEC"
"10038-98-9";"100.030.093";"7 mg/L (1)";NA;7;7;"N/A"
"1003859-14-0";"100.149.283";NA;NA;NA;NA;"Missing_PNEC"
"10039-33-5";"100.030.094";"100 mg/L (1)";NA;100;100;"N/A"
"10039-54-0";"100.030.095";"70 µg/L (1)";NA;0.07;0.07;"N/A"
"1004-38-2";"100.012.473";NA;NA;NA;NA;"Missing_PNEC"
"100402-60-6";"100.099.477";"5 mg/L (1)";NA;5;5;"N/A"
"100418-33-5";"100.100.952";NA;NA;NA;NA;"Missing_PNEC"
"10042-59-8";"100.030.102";"12 mg/L (1)";NA;12;12;"N/A"
"10042-76-9";"100.030.107";"4.2 mg/L (1)";NA;4.2;4.2;"N/A"
"1004297-30-6";"100.234.479";NA;NA;NA;NA;"Missing_PNEC"
"10043-01-3";"100.030.110";"60.2 mg/L (2)";NA;60.2;60.2;"N/A"
"10043-11-5";"100.030.111";NA;NA;NA;NA;"Missing_PNEC"
"10043-27-3";"100.030.113";NA;NA;NA;NA;"Missing_PNEC"
"10043-35-3";"100.030.114";"10 mg/L (1)";NA;10;10;"N/A"
"10043-52-4";"100.030.115";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"10043-67-1";"100.030.116";"63 mg/L (1)";NA;63;63;"N/A"
"10043-84-2";"100.030.118";NA;NA;NA;NA;"Missing_PNEC"
"1004316-93-1";"100.223.388";NA;NA;NA;NA;"Missing_PNEC"
"100442-33-9";"100.121.751";NA;NA;NA;NA;"Missing_PNEC"
"10045-25-7";"100.113.030";NA;NA;NA;NA;"Missing_PNEC"
"10045-86-0";"100.030.123";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"10045-89-3";"100.030.125";NA;NA;NA;NA;"Missing_PNEC"
"10045-95-1";"100.030.127";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"100453-11-0";"100.148.921";NA;NA;NA;NA;"Missing_PNEC"
"100485-51-6";"100.220.023";NA;NA;NA;NA;"Missing_PNEC"
"10049-04-4";"100.030.135";"100 - 100 000 µg/L (4)";NA;0.1;100;"Bad_value_repaired"
"10049-36-2";"100.030.147";NA;NA;NA;NA;"Missing_PNEC"
"100491-29-0";"100.102.093";NA;NA;NA;NA;"Missing_PNEC"
"100497-33-4";"100.103.166";NA;NA;NA;NA;"Missing_PNEC"
"100499-89-6";"100.112.180";NA;NA;NA;NA;"Missing_PNEC"
"1005-24-9";"100.104.777";NA;NA;NA;NA;"Missing_PNEC"
"1005-56-7";"100.012.488";NA;NA;NA;NA;"Missing_PNEC"
"100501-62-0";"100.100.742";NA;NA;NA;NA;"Missing_PNEC"
"100545-46-8";"100.099.596";NA;NA;NA;NA;"Missing_PNEC"
"100545-48-0";"100.099.598";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"100556-82-9";"100.225.085";"100 mg/L (1)";NA;100;100;"N/A"
"10058-44-3";"100.030.160";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"1006-23-1";"100.012.493";NA;NA;NA;NA;"Missing_PNEC"
"10061-01-5";"100.030.165";NA;NA;NA;NA;"Missing_PNEC"
"10061-02-6";"100.102.976";NA;NA;NA;NA;"Missing_PNEC"
"1006376-60-8";"100.254.406";NA;NA;NA;NA;"Missing_PNEC"
"1006376-62-0";"100.116.397";NA;NA;NA;NA;"Missing_PNEC"
"100656-54-0";"100.099.611";NA;NA;NA;NA;"Missing_PNEC"
"100683-96-3";"100.099.631";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"100684-33-1";"100.099.667";NA;NA;NA;NA;"Missing_PNEC"
"100684-39-7";"100.099.673";NA;NA;NA;NA;"Missing_PNEC"
"100684-40-0";"100.099.674";NA;NA;NA;NA;"Missing_PNEC"
"1006899-79-1";"100.128.846";NA;NA;NA;NA;"Missing_PNEC"
"100693-16-1";"100.217.834";NA;NA;NA;NA;"Missing_PNEC"
"10075-50-0";"100.030.176";NA;NA;NA;NA;"Missing_PNEC"
"1007881-21-1";"100.226.523";NA;NA;NA;NA;"Missing_PNEC"
"1007882-59-8";"100.244.391";NA;NA;NA;NA;"Missing_PNEC"
"1008-72-6";"100.012.508";NA;NA;NA;NA;"Missing_PNEC"
"10081-67-1";"100.030.182";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"1009-14-9";"100.012.516";NA;NA;NA;NA;"Missing_PNEC"
"1009-22-9";"100.122.949";NA;NA;NA;NA;"Missing_PNEC"
"1009-35-4";"100.167.953";NA;NA;NA;NA;"Missing_PNEC"
"1009-62-7";"100.012.519";NA;NA;NA;NA;"Missing_PNEC"
"1009-93-4";"100.012.521";NA;NA;NA;NA;"Missing_PNEC"
"1009119-83-8";"100.234.923";NA;NA;NA;NA;"Missing_PNEC"
"10094-34-5";"100.030.188";"31.25 mg/L (1)";NA;31.25;31.25;"N/A"
"10094-45-8";"100.030.192";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"10097-02-6";"100.102.262";"10 mg/L (1)";NA;10;10;"N/A"
"10097-09-3";"100.102.192";NA;NA;NA;NA;"Missing_PNEC"
"100988-63-4";"100.102.182";NA;NA;NA;NA;"Missing_PNEC"
"10099-58-8";"100.030.202";"12.5 mg/L (1)";NA;12.5;12.5;"N/A"
"10099-59-9";"100.030.203";"7.08 mg/L (1)";NA;7.08;7.08;"N/A"
"10099-67-9";"100.030.206";NA;NA;NA;NA;"Missing_PNEC"
"10099-70-4";"100.030.207";NA;NA;NA;NA;"Missing_PNEC"
"10099-74-8";"100.030.210";"100 µg/L (2)";NA;0.1;0.1;"N/A"
"101-02-0";"100.002.645";NA;NA;NA;NA;"Missing_PNEC"
"101-07-5";"100.002.648";NA;NA;NA;NA;"Missing_PNEC"
"101-11-1";"100.002.652";NA;NA;NA;NA;"Missing_PNEC"
"101-14-4";"100.002.654";"1 mg/L (1)";NA;1;1;"N/A"
"101-16-6";"100.002.656";NA;NA;NA;NA;"Missing_PNEC"
"101-18-8";"100.002.658";NA;NA;NA;NA;"Missing_PNEC"
"101-20-2";"100.002.659";"10 mg/L (1)";NA;10;10;"N/A"
"101-25-7";"100.002.663";NA;NA;NA;NA;"Missing_PNEC"
"101-34-8";"100.002.669";NA;NA;NA;NA;"Missing_PNEC"
"101-37-1";"100.002.670";"10 mg/L (1)";NA;10;10;"N/A"
"101-41-7";"100.002.674";"175 µg/L (2)";NA;0.175;0.175;"N/A"
"101-42-8";"100.002.675";NA;NA;NA;NA;"Missing_PNEC"
"101-43-9";"100.002.676";"9 mg/L (1)";NA;9;9;"N/A"
"101-48-4";"100.002.678";"290 µg/L (1)";NA;0.29;0.29;"N/A"
"101-50-8";"100.002.680";NA;NA;NA;NA;"Missing_PNEC"
"101-51-9";"100.002.681";NA;NA;NA;NA;"Missing_PNEC"
"101-54-2";"100.002.684";"30 mg/L (1)";NA;30;30;"N/A"
"101-55-3";"100.002.685";NA;NA;NA;NA;"Missing_PNEC"
"101-58-6";"100.002.688";NA;NA;NA;NA;"Missing_PNEC"
"101-59-7";"100.002.689";NA;NA;NA;NA;"Missing_PNEC"
"101-65-5";"100.002.695";NA;NA;NA;NA;"Missing_PNEC"
"101-68-8";"100.002.697";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"101-72-4";"100.002.700";"344 µg/L (2)";NA;0.344;0.344;"N/A"
"101-77-9";"100.002.705";"10 mg/L (1)";NA;10;10;"N/A"
"101-80-4";"100.002.707";"10 mg/L (1)";NA;10;10;"N/A"
"101-81-5";"100.002.708";NA;NA;NA;NA;"Missing_PNEC"
"101-83-7";"100.002.710";"21 mg/L (1)";NA;21;21;"N/A"
"101-84-8";"100.002.711";"10 mg/L (1)";NA;10;10;"N/A"
"101-90-6";"100.002.716";"6.4 mg/L (1)";NA;6.4;6.4;"N/A"
"101-96-2";"100.002.721";"710 - 3 400 µg/L (2)";NA;0.71;3.4;"Bad_value_repaired"
"101-97-3";"100.002.722";"300 µg/L (2)";NA;0.3;0.3;"N/A"
"101-98-4";"100.002.723";NA;NA;NA;NA;"Missing_PNEC"
"10101-50-5";"100.030.215";"20.4 mg/L (1)";NA;20.4;20.4;"N/A"
"10101-53-8";"100.030.217";NA;NA;NA;NA;"Missing_PNEC"
"10101-58-3";"100.030.218";NA;NA;NA;NA;"Missing_PNEC"
"10101-66-3";"100.030.221";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"101012-97-9";"100.099.751";"49 mg/L (1)";NA;49;49;"N/A"
"1010120-55-4";"100.229.497";NA;NA;NA;NA;"Missing_PNEC"
"1010120-59-8";"100.288.378";NA;NA;NA;NA;"Missing_PNEC"
"10102-05-3";"100.030.228";"1.46 mg/L (1)";NA;1.46;1.46;"N/A"
"10102-09-7";"100.103.066";"125 µg/L (1)";NA;0.125;0.125;"N/A"
"10102-18-8";"100.030.230";"3.285 mg/L (1)";NA;3.285;3.285;"N/A"
"10102-43-9";"100.030.233";NA;NA;NA;NA;"Missing_PNEC"
"10102-44-0";"100.030.234";NA;NA;NA;NA;"Missing_PNEC"
"10102-90-6";"100.030.241";"866.8 µg/L (1)";NA;0.8668;0.8668;"N/A"
"101023-55-6";"100.105.415";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"101033-44-7";"100.099.763";"100 mg/L (1)";NA;100;100;"N/A"
"1010697-95-6";"100.101.795";NA;NA;NA;NA;"Missing_PNEC"
"10108-64-2";"100.030.256";"20 µg/L (2)";NA;0.02;0.02;"N/A"
"10108-73-3";"100.030.257";"9.1 mg/L (1)";NA;9.1;9.1;"N/A"
"10109-95-2";"100.030.262";NA;NA;NA;NA;"Missing_PNEC"
"10114-46-2";"100.030.269";NA;NA;NA;NA;"Missing_PNEC"
"10114-47-3";"100.030.270";NA;NA;NA;NA;"Missing_PNEC"
"10114-86-0";"100.030.275";NA;NA;NA;NA;"Missing_PNEC"
"101153-84-8";"100.111.476";NA;NA;NA;NA;"Missing_PNEC"
"10117-38-1";"100.030.279";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"101200-48-0";"100.100.313";NA;NA;NA;NA;"Missing_PNEC"
"101205-02-1";"100.100.681";NA;NA;NA;NA;"Missing_PNEC"
"101227-08-1";"100.099.780";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"101227-09-2";"100.099.781";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"1012341-48-8";"100.224.305";NA;NA;NA;NA;"Missing_PNEC"
"101238-01-1";"100.149.391";"9.5 mg/L (1)";NA;9.5;9.5;"N/A"
"10124-36-4";"100.030.288";"20 µg/L (1)";NA;0.02;0.02;"N/A"
"10124-37-5";"100.030.289";"18 mg/L (1)";NA;18;18;"N/A"
"10124-41-1";"100.030.290";"106.5 mg/L (1)";NA;106.5;106.5;"N/A"
"10124-43-3";"100.030.291";"370 µg/L (1)";NA;0.37;0.37;"N/A"
"10124-53-5";"100.030.296";"104.1 mg/L (1)";NA;104.1;104.1;"N/A"
"10124-56-8";"100.030.299";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"10127-27-2";"100.030.312";NA;NA;NA;NA;"Missing_PNEC"
"10128-55-9";"100.030.315";NA;NA;NA;NA;"Missing_PNEC"
"1013-75-8";"100.012.542";NA;NA;NA;NA;"Missing_PNEC"
"1013-88-3";"100.103.715";NA;NA;NA;NA;"Missing_PNEC"
"1013116-84-1";"100.105.190";NA;NA;NA;NA;"Missing_PNEC"
"101316-44-3";"100.099.797";NA;NA;NA;NA;"Missing_PNEC"
"101316-49-8";"100.099.801";"1 mg/L (1)";NA;1;1;"N/A"
"101316-59-0";"100.099.810";NA;NA;NA;NA;"Missing_PNEC"
"101316-62-5";"100.099.812";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"101316-66-9";"100.099.815";NA;NA;NA;NA;"Missing_PNEC"
"101316-67-0";"100.099.816";NA;NA;NA;NA;"Missing_PNEC"
"101316-69-2";"100.099.818";NA;NA;NA;NA;"Missing_PNEC"
"101316-72-7";"100.099.821";NA;NA;NA;NA;"Missing_PNEC"
"101316-76-1";"100.099.823";NA;NA;NA;NA;"Missing_PNEC"
"101316-84-1";"100.099.829";"2.97 mg/L (1)";NA;2.97;2.97;"N/A"
"10132-99-7";"100.030.326";NA;NA;NA;NA;"Missing_PNEC"
"101356-96-1";"100.099.835";NA;NA;NA;NA;"Missing_PNEC"
"101357-15-7";"100.099.853";"100 mg/L (1)";NA;100;100;"N/A"
"101357-16-8";"100.099.854";"10 mg/L (1)";NA;10;10;"N/A"
"101357-19-1";"100.099.857";"69.18 - 100 000 µg/L (2)";NA;0.06918;100;"Bad_value_repaired"
"101357-30-6";"100.099.868";NA;NA;NA;NA;"Missing_PNEC"
"101377-47-3";"100.115.665";NA;NA;NA;NA;"Missing_PNEC"
"10138-01-9";"100.030.333";NA;NA;NA;NA;"Missing_PNEC"
"10138-04-2";"100.030.335";NA;NA;NA;NA;"Missing_PNEC"
"10138-36-0";"100.102.901";NA;NA;NA;NA;"Missing_PNEC"
"101385-90-4";"100.109.730";NA;NA;NA;NA;"Missing_PNEC"
"10139-58-9";"100.030.348";NA;NA;NA;NA;"Missing_PNEC"
"1013916-37-4";"100.226.293";NA;NA;NA;NA;"Missing_PNEC"
"101408-30-4";"100.100.917";NA;NA;NA;NA;"Missing_PNEC"
"10141-00-1";"100.030.352";"10 mg/L (1)";NA;10;10;"N/A"
"10141-05-6";"100.030.353";"370 µg/L (1)";NA;0.37;0.37;"N/A"
"10143-38-1";"100.030.360";NA;NA;NA;NA;"Missing_PNEC"
"101463-69-8";"100.101.654";NA;NA;NA;NA;"Missing_PNEC"
"10147-36-1";"100.030.364";NA;NA;NA;NA;"Missing_PNEC"
"10149-98-1";"100.030.368";NA;NA;NA;NA;"Missing_PNEC"
"101513-70-6";"100.100.369";NA;NA;NA;NA;"Missing_PNEC"
"10152-77-9";"100.104.271";NA;NA;NA;NA;"Missing_PNEC"
"101541-04-2";"100.155.372";NA;NA;NA;NA;"Missing_PNEC"
"1015689-48-1";"100.108.524";NA;NA;NA;NA;"Missing_PNEC"
"10161-33-8";"100.127.177";NA;NA;NA;NA;"Missing_PNEC"
"10163-15-2";"100.030.381";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"101631-14-5";"100.099.878";NA;NA;NA;NA;"Missing_PNEC"
"101657-77-6";"100.100.735";NA;NA;NA;NA;"Missing_PNEC"
"1016636-76-2";"100.226.901";NA;NA;NA;NA;"Missing_PNEC"
"1016788-34-3";"100.250.335";NA;NA;NA;NA;"Missing_PNEC"
"10168-81-7";"100.030.385";NA;NA;NA;NA;"Missing_PNEC"
"10169-02-5";"100.030.387";NA;NA;NA;NA;"Missing_PNEC"
"1016902-02-5";"100.105.437";NA;NA;NA;NA;"Missing_PNEC"
"1016986-95-0";"100.104.989";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"1017183-70-8";"100.102.483";NA;NA;NA;NA;"Missing_PNEC"
"101747-77-7";"100.254.708";"38 mg/L (1)";NA;38;38;"N/A"
"10175-31-2";"100.214.979";NA;NA;NA;NA;"Missing_PNEC"
"101795-01-1";"100.099.911";NA;NA;NA;NA;"Missing_PNEC"
"1018899-03-0";"100.246.989";NA;NA;NA;NA;"Missing_PNEC"
"101896-26-8";"100.099.919";NA;NA;NA;NA;"Missing_PNEC"
"101896-27-9";"100.099.920";NA;NA;NA;NA;"Missing_PNEC"
"101896-32-6";"100.100.256";NA;NA;NA;NA;"Missing_PNEC"
"10191-18-1";"100.030.410";NA;NA;NA;NA;"Missing_PNEC"
"10191-41-0";"100.030.411";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"10191-60-3";"100.030.412";NA;NA;NA;NA;"Missing_PNEC"
"10192-30-0";"100.030.414";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"10193-36-9";"100.030.421";"1 mg/L (1)";NA;1;1;"N/A"
"10193-99-4";"100.030.426";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"101947-16-4";"100.103.343";NA;NA;NA;NA;"Missing_PNEC"
"10195-54-7";"100.133.642";NA;NA;NA;NA;"Missing_PNEC"
"10196-04-0";"100.030.428";"93 mg/L (1)";NA;93;93;"N/A"
"10196-49-3";"100.030.430";NA;NA;NA;NA;"Missing_PNEC"
"101990-44-7";"100.108.986";NA;NA;NA;NA;"Missing_PNEC"
"102-01-2";"100.002.725";NA;NA;NA;NA;"Missing_PNEC"
"102-06-7";"100.002.730";"1.47 mg/L (1)";NA;1.47;1.47;"N/A"
"102-07-8";"100.002.731";NA;NA;NA;NA;"Missing_PNEC"
"102-08-9";"100.002.732";"10 mg/L (1)";NA;10;10;"N/A"
"102-09-0";"100.002.733";"6 mg/L (1)";NA;6;6;"N/A"
"102-13-6";"100.002.735";NA;NA;NA;NA;"Missing_PNEC"
"102-16-9";"100.002.736";NA;NA;NA;NA;"Missing_PNEC"
"102-19-2";"100.002.739";NA;NA;NA;NA;"Missing_PNEC"
"102-20-5";"100.002.740";"440.3 - 10 000 µg/L (3)";NA;0.4403;10;"Bad_value_repaired"
"102-22-7";"100.002.741";NA;NA;NA;NA;"Missing_PNEC"
"102-24-9";"100.002.743";"53.5 mg/L (1)";NA;53.5;53.5;"N/A"
"102-27-2";"100.002.746";NA;NA;NA;NA;"Missing_PNEC"
"102-28-3";"100.002.747";NA;NA;NA;NA;"Missing_PNEC"
"102-36-3";"100.002.752";NA;NA;NA;NA;"Missing_PNEC"
"102-40-9";"100.002.754";NA;NA;NA;NA;"Missing_PNEC"
"102-52-3";"100.002.762";NA;NA;NA;NA;"Missing_PNEC"
"102-54-5";"100.002.764";"876 µg/L (1)";NA;0.876;0.876;"N/A"
"102-56-7";"100.002.765";NA;NA;NA;NA;"Missing_PNEC"
"102-60-3";"100.002.766";"70 mg/L (1)";NA;70;70;"N/A"
"102-69-2";"100.002.771";"100 mg/L (2)";NA;100;100;"N/A"
"102-70-5";"100.002.772";NA;NA;NA;NA;"Missing_PNEC"
"102-71-6";"100.002.773";"10 mg/L (1)";NA;10;10;"N/A"
"102-76-1";"100.002.775";"1.088 g/L (1)";NA;1088;1088;"N/A"
"102-77-2";"100.002.776";"1 g/L (1)";NA;1000;1000;"N/A"
